dimPhysicianPK,ProviderNpi,ProviderName,SpecialityCode,ProviderFTE
216414,187722904,Dr. Braun,22,0.6
216417,187720304,Dr. Frye,20,1
216419,187722228,Dr. Sanders,8,1
216421,187707122,Dr. Herring,11,0.85
216427,187723424,Dr. Erickson,37,0.8
216428,187704132,Dr. Santos,30,0.85
216432,187718068,Dr. Galvan,22,0.05
216435,187720486,Dr. Atkins,30,0.65
216436,187723762,Dr. Stein,16,1
216438,187700908,Dr. Hinton,68,0.3
216441,187719628,Dr. Marquez,93,0.8
216445,187719836,Dr. Burton,37,0.75
216446,187711906,Dr. Rojas,36,0.95
216451,187706446,Dr. Duffy,93,0.86
216452,187722202,Dr. Hood,36,1
216453,187712452,Dr. Davidson,8,0.45
216454,187714064,Dr. Austin,11,0.15
216455,187703196,Dr. Garrison,11,0.68
216456,187709644,Dr. Morrison,30,0.95
216457,187702520,Dr. Hatfield,37,0.89
216458,187713700,Dr. Dalton,8,1
216466,187711880,Dr. Greer,30,0.7
216467,187711282,Dr. Mendoza,8,0.62
216469,187707460,Dr. Blair,22,0.55
216471,187712114,Dr. Salinas,37,1
216475,187700648,Dr. Kirk,22,0.7
216483,187709280,Dr. Chapman,30,0.2
216487,187700232,Dr. Rogers,30,1
216489,187722410,Dr. Davila,11,1
216492,187717080,Dr. Stephenson,11,1
216494,187704184,Dr. Little,30,1
216509,187704470,Dr. Khan,8,1
216512,187715780,Dr. Riley,93,1
216516,187723502,Dr. Brady,16,1
216519,187709826,Dr. Chavez,30,0.95
216520,187710216,Dr. Mcpherson,37,1
216525,187722020,Dr. Hunt,11,0.63
216526,187705926,Dr. Baird,68,0.49
216528,187712764,Dr. Dunn,86,0.06
216532,187707928,Dr. Holmes,37,1
216537,187722592,Dr. Sanford,11,1
216541,187712972,Dr. Graves,20,0.44
216545,187716482,Dr. Bates,8,0.9
216546,187723684,Dr. Ayers,30,0.6
216549,187724204,Dr. Conway,30,0.76
216550,187710346,Dr. Rollins,37,0.7
216551,187717834,Dr. Holt,37,0.9
216552,187702598,Dr. Moss,11,0.4
216553,187711698,Dr. Oconnell,11,1
216555,187714090,Dr. Park,8,1
216556,187721604,Dr. Gamble,11,0.3
216558,187709878,Dr. Chen,16,0.9
216560,187719940,Dr. Cohen,37,1
216562,187701220,Dr. Baldwin,11,0.55
216564,187715130,Dr. Ashley,22,0.95
216565,187709774,Dr. Tucker,11,0.5
216571,187711464,Dr. Hull,91,1
216576,187708292,Dr. Carey,20,0.33
216577,187705484,Dr. Nielsen,16,0.69
216580,187705978,Dr. Weeks,16,0.92
216582,187702832,Dr. Wheeler,20,0.9
216584,187718718,Dr. Dominguez,11,0.4
216585,187720850,Dr. Gregory,11,0.95
216586,187708838,Dr. Francis,18,1
216587,187718900,Dr. Cooley,11,1
216589,187700544,Dr. Schmitt,8,1
216590,187704054,Dr. Banks,93,1
216592,187722852,Dr. Kemp,30,0.47
216593,187709592,Dr. Merritt,11,0.97
216595,187719212,Dr. Hardy,11,0.3
216597,187702286,Dr. Grimes,93,1
216599,187716508,Dr. Todd,8,1
216602,187721344,Dr. Daniel,37,0.47
216604,187714818,Dr. Logan,8,0.57
216605,187703560,Dr. Pena,8,0.96
216612,187700336,Dr. Murray,30,0.95
216613,187712374,Dr. Hensley,8,0.5
216619,187710840,Dr. Colon,11,0.77
216625,187721578,Dr. Haynes,93,1
216626,187718276,Dr. Harper,11,1
216627,187708942,Dr. Castro,2,0.8
216628,187707304,Dr. Evans,11,0.85
216629,187723346,Dr. Ingram,11,0.9
216631,187718510,Dr. Macias,93,1
216639,187721682,Dr. Rowe,8,0.13
216641,187701272,Dr. Stafford,22,0.2
216643,187705796,Dr. Dillon,68,0.4
216644,187714532,Dr. Lucas,77,0.55
216650,187723268,Dr. Freeman,11,1
216651,187719316,Dr. Huffman,18,0.26
216654,187718406,Dr. Doyle,68,0.18
216656,187715494,Dr. Floyd,11,0.93
216659,187716118,Dr. Barron,11,1
216660,187714038,Dr. Tran,11,0.5
216661,187700180,Dr. Mckinney,30,0.95
216665,187720044,Dr. Weaver,11,0.75
216667,187718744,Dr. Jennings,C9,0.8
216668,187705380,Dr. Haney,11,0.83
216672,187722956,Dr. Terrell,2,0.85
216674,187702468,Dr. Hartman,16,0.65
216675,187713050,Dr. Boyd,11,0.8
216678,187703742,Dr. Medina,16,0.27
216680,187723008,Dr. Taylor,11,1
216681,187719576,Dr. Mcgee,11,0.15
216682,187710502,Dr. Brooks,11,1
216684,187701168,Dr. Hoffman,68,0.17
216686,187712478,Dr. Livingston,33,1
216688,187714350,Dr. Lawrence,8,0.6
216690,187722826,Dr. Mccullough,93,1
216691,187710814,Dr. Garrett,24,1
216697,187710710,Dr. Gallagher,30,0.57
216699,187704704,Dr. Moody,28,1
216702,187722488,Dr. Morgan,30,0.9
216707,187704210,Dr. Casey,11,0.67
216708,187714142,Dr. Aguirre,30,0.76
216710,187714376,Dr. Ramsey,86,0.93
216713,187702754,Dr. Schaefer,11,1
216716,187723970,Dr. Hamilton,16,0.55
216725,187713414,Dr. Downs,11,0.15
216727,187713466,Dr. Friedman,16,0.97
216731,187716456,Dr. Nolan,30,0.95
216732,187711984,Dr. Manning,11,1
216733,187716820,Dr. Porter,11,0.65
216734,187708864,Dr. Aguilar,30,0.75
216735,187703690,Dr. Gill,30,0.71
216736,187706342,Dr. Stokes,16,1
216738,187713804,Dr. Hurley,11,1
216742,187720720,Dr. Jones,16,0.48
216744,187722150,Dr. Cummings,37,0.8
216747,187723528,Dr. Molina,8,0.92
216748,187706784,Dr. Hurst,11,0.82
216752,187704964,Dr. Whitehead,11,0.91
216758,187710580,Dr. Perez,16,0.97
216760,187704600,Dr. Paul,11,0.85
216761,187710372,Dr. Frazier,30,1
216762,187702338,Dr. Short,11,1
216764,187705354,Dr. Hogan,8,0.5
216767,187710788,Dr. Escobar,11,0.9
216768,187723632,Dr. Everett,30,0.95
216769,187719186,Dr. Mccarthy,11,0.9
216773,187706472,Dr. Mcbride,25,0.8
216780,187717730,Dr. Ramirez,11,1
216782,187701870,Dr. Glover,11,0.26
216785,187714610,Dr. Patrick,33,1
216787,187711360,Dr. Schultz,11,0.78
216791,187717522,Dr. Calderon,16,1
216798,187707616,Dr. Barajas,37,1
216799,187723320,Dr. Galloway,30,0.95
216800,187720070,Dr. Reynolds,77,0.63
216805,187709072,Dr. Maxwell,2,0.6
216806,187717678,Dr. Avila,20,0.16
216813,187711230,Dr. Ray,8,1
216814,187704834,Dr. Zamora,77,0.3
216816,187704002,Dr. Shannon,2,0.85
216819,187721058,Dr. Howard,22,0.85
216820,187702442,Dr. Beasley,11,1
216823,187722696,Dr. Cantrell,22,0.4
216824,187703352,Dr. Moore,93,0.68
216826,187706654,Dr. Hughes,11,0.7
216827,187701142,Dr. Wolfe,20,0.38
216828,187716274,Dr. Nicholson,33,1
216829,187719004,Dr. Parsons,30,0.5
216832,187723086,Dr. Murphy,30,0.95
216834,187716976,Dr. Whitney,14,1
216836,187703950,Dr. Kramer,37,0.6
216840,187708344,Dr. Jarvis,25,1
216842,187717262,Dr. Mueller,37,0.6
216844,187721448,Dr. Watkins,8,1
216850,187713102,Dr. Pearson,11,1
216854,187702364,Dr. Rivers,30,1
216856,187714454,Dr. Burnett,93,0.6
216858,187701480,Dr. Wolf,11,0.4
216862,187700622,Dr. Mejia,11,1
216863,187719394,Dr. Carson,2,1
216864,187705224,Dr. Shah,2,0.2
216867,187711386,Dr. Mcgrath,93,0.95
216869,187720434,Dr. Suarez,16,0.9
216871,187705952,Dr. Eaton,37,0.88
216872,187707850,Dr. Mack,11,1
216873,187708214,Dr. Burke,2,0.9
216874,187705614,Dr. Robles,11,0.92
216875,187709982,Dr. Bowers,11,0.6
216877,187724048,Dr. Bennett,11,0.95
216880,187708656,Dr. Simon,8,1
216883,187713128,Dr. Keller,22,0.8
216886,187703222,Dr. Pham,37,1
216887,187721942,Dr. Wu,37,0.4
216888,187708604,Dr. Hudson,8,0.6
216889,187700388,Dr. Huff,33,0.4
216893,187703664,Dr. Pugh,22,0.6
216894,187704938,Dr. Mcmahon,8,0.8
216896,187710034,Dr. Waller,11,0.6
216897,187701064,Dr. Branch,11,0.7
216898,187706316,Dr. Bishop,8,0.7
216900,187703300,Dr. Price,11,0.94
216902,187712088,Dr. Mclaughlin,11,1
216903,187709436,Dr. Duarte,8,0.8
216904,187722046,Dr. Moran,30,0.75
216907,187716352,Dr. Allison,22,0.95
216908,187714168,Dr. Chandler,11,1
216909,187710658,Dr. Chang,36,1
216911,187724256,Dr. Wall,8,0.8
216913,187718042,Dr. Valentine,8,0.75
216915,187722670,Dr. Patterson,11,0.78
216916,187724230,Dr. Larsen,8,1
216918,187711308,Dr. Robertson,8,0.6
216919,187704314,Dr. Bradford,8,0.53
216922,187702988,Dr. Ball,16,0.9
216923,187723892,Dr. Ewing,30,0.95
216924,187709150,Dr. Robbins,11,1
216926,187707720,Dr. Washington,16,0.97
216928,187708266,Dr. Roberts,37,0.6
216930,187705640,Dr. Shea,30,0.85
216934,187714506,Dr. Owen,30,0.8
216935,187705276,Dr. Walker,30,0.76
216937,187720798,Dr. Love,11,0.92
216943,187701766,Dr. Huerta,8,1
216945,187707980,Dr. Barton,8,1
216950,187714766,Dr. Abbott,37,0.9
216998,187703014,Dr. Bender,11,0.17
217022,187708162,Dr. Kim,68,0.44
217038,187712348,Dr. White,68,0.49
217072,187717626,Dr. Frederick,25,0.2
217089,187718692,Dr. Jimenez,16,0.4
217113,187717366,Dr. Carrillo,37,0.35
217122,187700674,Dr. Choi,16,0.7
217130,187711568,Dr. Carter,16,0.06
217142,187719810,Dr. Sawyer,30,0.4
217237,187716950,Dr. Leach,11,0.18
217390,187707096,Dr. Tapia,37,0.26
217472,187715156,Dr. Patel,34,0.34
218243,187709852,Dr. Pitts,11,1
218365,187716872,Dr. Spencer,8,0.21
